,Super Sector Name,Super Sector Code,Sector Name,Sector Code,Group Name,Group Code,Industry Name,Industry Code
0,Cyclical,1,Basic Materials,101,Agriculture,10110,Agricultural Inputs,10110010
1,Cyclical,1,Basic Materials,101,Building Materials,10120,Building Materials,10120010
2,Cyclical,1,Basic Materials,101,Chemicals,10130,Chemicals,10130010
3,Cyclical,1,Basic Materials,101,Chemicals,10130,Specialty Chemicals,10130020
4,Cyclical,1,Basic Materials,101,Forest Products,10140,Lumber & Wood Production,10140010
5,Cyclical,1,Basic Materials,101,Forest Products,10140,Paper & Paper Products,10140020
6,Cyclical,1,Basic Materials,101,Metals & Mining,10150,Aluminum,10150010
7,Cyclical,1,Basic Materials,101,Metals & Mining,10150,Copper,10150020
8,Cyclical,1,Basic Materials,101,Metals & Mining,10150,Other Industrial Metals & Mining,10150030
9,Cyclical,1,Basic Materials,101,Metals & Mining,10150,Gold,10150040
10,Cyclical,1,Basic Materials,101,Metals & Mining,10150,Silver,10150050
11,Cyclical,1,Basic Materials,101,Metals & Mining,10150,Other Precious Metals & Mining,10150060
12,Cyclical,1,Basic Materials,101,Steel,10160,Coking Coal,10160010
13,Cyclical,1,Basic Materials,101,Steel,10160,Steel,10160020
14,Cyclical,1,Consumer Cyclical,102,Vehicles & Parts,10200,Auto & Truck Dealerships,10200010
15,Cyclical,1,Consumer Cyclical,102,Vehicles & Parts,10200,Auto Manufacturers,10200020
16,Cyclical,1,Consumer Cyclical,102,Vehicles & Parts,10200,Auto Parts,10200030
17,Cyclical,1,Consumer Cyclical,102,Vehicles & Parts,10200,Recreational Vehicles,10200040
18,Cyclical,1,Consumer Cyclical,102,"Furnishings, Fixtures & Appliances",10220,"Furnishings, Fixtures & Appliances",10220010
19,Cyclical,1,Consumer Cyclical,102,Homebuilding & Construction,10230,Residential Construction,10230010
20,Cyclical,1,Consumer Cyclical,102,Manufacturing—Apparel & Accessories,10240,Textile Manufacturing,10240010
21,Cyclical,1,Consumer Cyclical,102,Manufacturing—Apparel & Accessories,10240,Apparel Manufacturing,10240020
22,Cyclical,1,Consumer Cyclical,102,Manufacturing—Apparel & Accessories,10240,Footwear & Accessories,10240030
23,Cyclical,1,Consumer Cyclical,102,Packaging & Containers,10250,Packaging & Containers,10250010
24,Cyclical,1,Consumer Cyclical,102,Personal Services,10260,Personal Services,10260010
25,Cyclical,1,Consumer Cyclical,102,Restaurants,10270,Restaurants,10270010
26,Cyclical,1,Consumer Cyclical,102,Retail—Cyclical,10280,Apparel Retail,10280010
27,Cyclical,1,Consumer Cyclical,102,Retail—Cyclical,10280,Department Stores,10280020
28,Cyclical,1,Consumer Cyclical,102,Retail—Cyclical,10280,Home Improvement Retail,10280030
29,Cyclical,1,Consumer Cyclical,102,Retail—Cyclical,10280,Luxury Goods,10280040
30,Cyclical,1,Consumer Cyclical,102,Retail—Cyclical,10280,Internet Retail,10280050
31,Cyclical,1,Consumer Cyclical,102,Retail—Cyclical,10280,Specialty Retail,10280060
32,Cyclical,1,Consumer Cyclical,102,Travel & Leisure,10290,Gambling,10290010
33,Cyclical,1,Consumer Cyclical,102,Travel & Leisure,10290,Leisure,10290020
34,Cyclical,1,Consumer Cyclical,102,Travel & Leisure,10290,Lodging,10290030
35,Cyclical,1,Consumer Cyclical,102,Travel & Leisure,10290,Resorts & Casinos,10290040
36,Cyclical,1,Consumer Cyclical,102,Travel & Leisure,10290,Travel Services,10290050
37,Cyclical,1,Financial Services,103,Asset Management,10310,Asset Management,10310010
38,Cyclical,1,Financial Services,103,Banks,10320,Banks—Diversified,10320010
39,Cyclical,1,Financial Services,103,Banks,10320,Banks—Regional,10320020
40,Cyclical,1,Financial Services,103,Banks,10320,Mortgage Finance,10320030
41,Cyclical,1,Financial Services,103,Capital Markets,10330,Capital Markets,10330010
42,Cyclical,1,Financial Services,103,Capital Markets,10330,Financial Data & Stock Exchanges,10330020
43,Cyclical,1,Financial Services,103,Insurance,10340,Insurance—Life,10340010
44,Cyclical,1,Financial Services,103,Insurance,10340,Insurance—Property & Casualty,10340020
45,Cyclical,1,Financial Services,103,Insurance,10340,Insurance—Reinsurance,10340030
46,Cyclical,1,Financial Services,103,Insurance,10340,Insurance—Specialty,10340040
47,Cyclical,1,Financial Services,103,Insurance,10340,Insurance Brokers,10340050
48,Cyclical,1,Financial Services,103,Insurance,10340,Insurance—Diversified,10340060
49,Cyclical,1,Financial Services,103,Diversified Financial Services,10350,Shell Companies,10350010
50,Cyclical,1,Financial Services,103,Diversified Financial Services,10350,Financial Conglomerates,10350020
51,Cyclical,1,Financial Services,103,Credit Services,10360,Credit Services,10360010
52,Cyclical,1,Real Estate,104,Real Estate,10410,Real Estate—Development,10410010
